symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-01-03 05:00:00+00:00,118.47,118.8,104.64,108.1,235727017.0,2540115.0,109.133537
TSLA,2023-01-04 05:00:00+00:00,109.11,114.59,107.52,113.64,183641524.0,1652357.0,111.901725
TSLA,2023-01-05 05:00:00+00:00,110.51,111.75,107.1601,110.34,160906940.0,1337246.0,109.5523
TSLA,2023-01-06 05:00:00+00:00,103.0,114.39,101.81,113.06,224113076.0,2008686.0,109.418991
TSLA,2023-01-09 05:00:00+00:00,118.96,123.52,117.11,119.77,194213551.0,1740778.0,121.15591
TSLA,2023-01-10 05:00:00+00:00,121.07,122.76,114.92,118.85,169904675.0,1402653.0,117.800004
TSLA,2023-01-11 05:00:00+00:00,122.09,125.95,120.51,123.22,187333311.0,1509958.0,122.723406
TSLA,2023-01-12 05:00:00+00:00,122.56,124.1311,117.0,123.56,172269894.0,1432276.0,120.949191
TSLA,2023-01-13 05:00:00+00:00,116.55,122.63,115.6,122.4,183250365.0,1424077.0,119.649314
TSLA,2023-01-17 05:00:00+00:00,125.695,131.7,125.02,131.49,190097742.0,1495234.0,129.51408
TSLA,2023-01-18 05:00:00+00:00,136.555,136.68,127.01,128.78,198301125.0,1541863.0,130.55768
TSLA,2023-01-19 05:00:00+00:00,127.26,129.99,124.3082,127.17,172462075.0,1156276.0,127.21659
TSLA,2023-01-20 05:00:00+00:00,128.68,133.51,127.3466,133.42,141903857.0,984544.0,131.047526
TSLA,2023-01-23 05:00:00+00:00,135.87,145.3793,134.27,143.75,206160335.0,1479336.0,141.244828
TSLA,2023-01-24 05:00:00+00:00,143.0,146.5,141.1,143.89,160675460.0,1176070.0,143.548576
TSLA,2023-01-25 05:00:00+00:00,141.905,146.41,138.07,144.43,194770773.0,1579533.0,142.798709
TSLA,2023-01-26 05:00:00+00:00,159.965,161.42,154.76,160.27,238806737.0,2046130.0,157.910765
TSLA,2023-01-27 05:00:00+00:00,162.43,180.68,161.17,177.9,309508609.0,2617785.0,173.215931
TSLA,2023-01-30 05:00:00+00:00,178.05,179.77,166.5,166.66,233147806.0,2010141.0,172.064739
TSLA,2023-01-31 05:00:00+00:00,164.57,174.3,162.78,173.22,200228780.0,1496831.0,170.964827
TSLA,2023-02-01 05:00:00+00:00,173.89,183.805,169.93,181.41,216770911.0,1598180.0,175.786382
TSLA,2023-02-02 05:00:00+00:00,187.325,196.7501,182.61,188.27,218469998.0,1949050.0,190.725467
TSLA,2023-02-03 05:00:00+00:00,183.95,199.0,183.69,189.98,233445345.0,1949563.0,193.590184
TSLA,2023-02-06 05:00:00+00:00,193.01,198.17,189.92,194.76,190036857.0,1591560.0,194.596451
TSLA,2023-02-07 05:00:00+00:00,196.43,197.5,189.55,196.81,188507095.0,1547236.0,194.081991
TSLA,2023-02-08 05:00:00+00:00,196.1,203.0,194.31,201.29,183938354.0,1575286.0,200.337319
