feature,importance
close,0.9814461062903241
ma_5,0.00636094080217411
volume,0.0029739482270940473
rsi,0.0026932385510197365
volatility,0.002387624968184373
ma_10,0.0023040432818610687
ma_20,0.0018340978793425313
