feature,importance
close,0.9431671482297245
ma_5,0.03657133144792308
ma_10,0.00739425815894329
ma_20,0.0068304469980119764
rsi,0.0022496634284473807
volume,0.0019189991321232212
volatility,0.0018681526048267578
